SKU,Name,Cost,Qty,Category
TEST-SKU-0001,Test Product 1,28.13,183,Snacks
TEST-SKU-0002,Test Product 2,22.32,122,Meat
TEST-SKU-0003,Test Product 3,35.65,178,Dairy
TEST-SKU-0004,Test Product 4,36.01,132,Vegetables
TEST-SKU-0005,Test Product 5,3.71,155,Bakery
TEST-SKU-0006,Test Product 6,10.99,178,Snacks
TEST-SKU-0007,Test Product 7,26.1,94,Bakery
TEST-SKU-0008,Test Product 8,41.86,109,Bakery
TEST-SKU-0009,Test Product 9,8.93,196,Snacks
TEST-SKU-0010,Test Product 10,34.64,195,Dairy
TEST-SKU-0011,Test Product 11,16.32,40,Pantry
TEST-SKU-0012,Test Product 12,33.23,191,Pantry
TEST-SKU-0013,Test Product 13,27.18,11,Pantry
TEST-SKU-0014,Test Product 14,47.23,185,Meat
TEST-SKU-0015,Test Product 15,16.53,84,Dairy
TEST-SKU-0016,Test Product 16,23.56,147,Dairy
TEST-SKU-0017,Test Product 17,31.7,39,Beverages
TEST-SKU-0018,Test Product 18,39.83,42,Meat
TEST-SKU-0019,Test Product 19,6.84,49,Vegetables
TEST-SKU-0020,Test Product 20,35.43,29,Fruits
TEST-SKU-0021,Test Product 21,31.16,88,Snacks
TEST-SKU-0022,Test Product 22,30.24,186,Snacks
TEST-SKU-0023,Test Product 23,32.32,167,Beverages
TEST-SKU-0024,Test Product 24,15.43,77,Fruits
TEST-SKU-0025,Test Product 25,39.92,177,Bakery
TEST-SKU-0026,Test Product 26,27.53,171,Bakery
TEST-SKU-0027,Test Product 27,49.68,165,Dairy
TEST-SKU-0028,Test Product 28,15.02,52,Fruits
TEST-SKU-0029,Test Product 29,12.27,187,Vegetables
TEST-SKU-0030,Test Product 30,4.16,111,Snacks
TEST-SKU-0031,Test Product 31,49.23,200,Pantry
TEST-SKU-0032,Test Product 32,22.34,132,Bakery
TEST-SKU-0033,Test Product 33,37.25,58,Meat
TEST-SKU-0034,Test Product 34,32.68,164,Meat
TEST-SKU-0035,Test Product 35,10.55,173,Snacks
TEST-SKU-0036,Test Product 36,49.44,126,Pantry
TEST-SKU-0037,Test Product 37,44.77,39,Meat
TEST-SKU-0038,Test Product 38,21.04,78,Pantry
TEST-SKU-0039,Test Product 39,39.11,136,Meat
TEST-SKU-0040,Test Product 40,23.95,129,Pantry
TEST-SKU-0041,Test Product 41,44.0,84,Meat
TEST-SKU-0042,Test Product 42,48.98,19,Bakery
TEST-SKU-0043,Test Product 43,39.88,96,Dairy
TEST-SKU-0044,Test Product 44,5.67,26,Beverages
TEST-SKU-0045,Test Product 45,42.43,78,Beverages
TEST-SKU-0046,Test Product 46,5.34,29,Pantry
TEST-SKU-0047,Test Product 47,42.04,164,Vegetables
TEST-SKU-0048,Test Product 48,3.71,77,Beverages
TEST-SKU-0049,Test Product 49,17.33,40,Beverages
TEST-SKU-0050,Test Product 50,13.93,111,Dairy
TEST-SKU-0051,Test Product 51,31.65,67,Beverages
TEST-SKU-0052,Test Product 52,37.25,172,Fruits
TEST-SKU-0053,Test Product 53,23.91,139,Pantry
TEST-SKU-0054,Test Product 54,43.36,132,Vegetables
TEST-SKU-0055,Test Product 55,42.19,184,Fruits
TEST-SKU-0056,Test Product 56,48.41,51,Snacks
TEST-SKU-0057,Test Product 57,5.44,160,Vegetables
TEST-SKU-0058,Test Product 58,24.24,177,Vegetables
TEST-SKU-0059,Test Product 59,43.88,92,Fruits
TEST-SKU-0060,Test Product 60,46.39,117,Dairy
TEST-SKU-0061,Test Product 61,19.29,14,Bakery
TEST-SKU-0062,Test Product 62,12.21,67,Dairy
TEST-SKU-0063,Test Product 63,26.25,138,Vegetables
TEST-SKU-0064,Test Product 64,21.39,168,Snacks
TEST-SKU-0065,Test Product 65,1.8,91,Dairy
TEST-SKU-0066,Test Product 66,4.7,97,Meat
TEST-SKU-0067,Test Product 67,32.83,125,Pantry
TEST-SKU-0068,Test Product 68,13.32,23,Bakery
TEST-SKU-0069,Test Product 69,22.57,183,Vegetables
TEST-SKU-0070,Test Product 70,30.56,117,Beverages
TEST-SKU-0071,Test Product 71,5.19,117,Beverages
TEST-SKU-0072,Test Product 72,43.18,154,Meat
TEST-SKU-0073,Test Product 73,28.2,163,Vegetables
TEST-SKU-0074,Test Product 74,31.9,63,Vegetables
TEST-SKU-0075,Test Product 75,46.96,136,Fruits
TEST-SKU-0076,Test Product 76,49.07,13,Meat
TEST-SKU-0077,Test Product 77,41.62,138,Meat
TEST-SKU-0078,Test Product 78,37.33,188,Pantry
TEST-SKU-0079,Test Product 79,17.23,57,Meat
TEST-SKU-0080,Test Product 80,7.96,149,Meat
TEST-SKU-0081,Test Product 81,45.33,90,Fruits
TEST-SKU-0082,Test Product 82,3.4,52,Dairy
TEST-SKU-0083,Test Product 83,35.14,124,Snacks
TEST-SKU-0084,Test Product 84,49.86,166,Bakery
TEST-SKU-0085,Test Product 85,16.43,97,Meat
TEST-SKU-0086,Test Product 86,12.69,75,Snacks
TEST-SKU-0087,Test Product 87,43.26,170,Snacks
TEST-SKU-0088,Test Product 88,12.27,113,Dairy
TEST-SKU-0089,Test Product 89,18.26,41,Vegetables
TEST-SKU-0090,Test Product 90,37.71,148,Snacks
TEST-SKU-0091,Test Product 91,16.22,112,Beverages
TEST-SKU-0092,Test Product 92,30.24,179,Bakery
TEST-SKU-0093,Test Product 93,15.25,26,Beverages
TEST-SKU-0094,Test Product 94,40.92,157,Bakery
TEST-SKU-0095,Test Product 95,3.43,92,Beverages
TEST-SKU-0096,Test Product 96,19.47,145,Dairy
TEST-SKU-0097,Test Product 97,25.7,67,Vegetables
TEST-SKU-0098,Test Product 98,31.41,169,Bakery
TEST-SKU-0099,Test Product 99,32.24,102,Pantry
TEST-SKU-0100,Test Product 100,20.1,42,Vegetables
